SNo,Date,Voucher No,Branch,Party,Account,Net Amount,Division
1,02-04-2019,DN-GEN 3,ANDHRA,SAI SRINIVASA COMPUTERS,CREDIT/DEBIT NOTE TO DEALERS,"32,100.00",SKYZEN
2,02-04-2019,TP-DN-V 1,PONNUR,GOPI KRISHNA ELE,CREDIT/DEBIT NOTE TO DEALERS,"410,000.00",SKYZEN
3,03-04-2019,DN-GEN 1,ANDHRA,SURYA ELECTRONICS,CREDIT/DEBIT NOTE TO DISTRIBUTORS,"80,000.00",SKYZEN
4,04-04-2019,DN-CB 1,ANDHRA,NEELIMA ELECTRONICS & HOME NEEDS,CHQ BOUNCE CHARGES,300.00,SKYZEN
5,05-04-2019,DN-GEN 2,ANDHRA,SRI VENKATESWARA ELECTRONICS & FURNITURE,COURIER EXP,350.00,SKYZEN
6,09-04-2019,DN-CB 2,ANDHRA,SRI SAI TEJA ELECTRONICS,CHQ BOUNCE CHARGES,300.00,SKYZEN
7,09-04-2019,DN-P 5,ANDHRA,LORVENS PACKAGE INDUSTRIES,CREDIT/DEBIT NOTE TO DEALERS,5.00,SKYZEN
8,12-04-2019,DN-CB 3,TELANGANA,SONY ELECTRONICS,CHQ BOUNCE CHARGES,300.00,SKYZEN
9,12-04-2019,DN-CB 4,ANDHRA,SIVA METAL & HOME NEEDS,CHQ BOUNCE CHARGES,300.00,SKYZEN
10,16-04-2019,TP-DN-ONG 1,PONNUR,KUNJETI ELECTRICALS AND GENERAL TRADERS,CREDIT/DEBIT NOTE TO DEALERS,4.00,SKYZEN
11,16-04-2019,TP-DN-ONG 2,PONNUR,SHIRIDISAI ELECTRONICS,CREDIT/DEBIT NOTE TO DEALERS,4.00,CVCRM
12,17-04-2019,DN-CB 5,ANDHRA,SRI SATYA SAI HOMENEEDS TV&FUR SHOWROOM,CHQ BOUNCE CHARGES,300.00,SKYZEN
13,20-04-2019,DN-CB 6,ANDHRA,VYJAYANTHI ENTERPRISES,CHQ BOUNCE CHARGES,300.00,SKYZEN
14,20-04-2019,DN-H 1,TELANGANA,RISHI ENTERPRISES,CREDIT/DEBIT NOTE TO DISTRIBUTORS,"8,190.00",SKYZEN
15,22-04-2019,DN-CB 7,ANDHRA,NEELIMA ELECTRONICS & HOME NEEDS,CHQ BOUNCE CHARGES,300.00,SKYZEN
16,24-04-2019,DN-SZ 2,ANDHRA,ANIL DIGI WORLD,CREDIT/DEBIT NOTE TO DEALERS,210.00,SKYZEN
17,27-04-2019,DN-SZ 3,ANDHRA,SHREEJA ENTERPRISES,CREDIT/DEBIT NOTE TO DISTRIBUTORS,22.00,SKYZEN
18,30-04-2019,DN-CB 8,ANDHRA,SIVA METAL & HOME NEEDS,CHQ BOUNCE CHARGES,300.00,SKYZEN
19,02-05-2019,DN-P 4,ANDHRA,KEN LIFESTYLES PVT LTD AP,CREDIT NOTES FROM COMPANY CD,"1,540.00",SKYZEN
20,02-05-2019,DN-SZ 1,ANDHRA,SRIDHAR AGENCIES,CREDIT/DEBIT NOTE TO DISTRIBUTORS,"1,320.00",SKYZEN
21,07-05-2019,DN-CB 9,ANDHRA,SIVA METAL & HOME NEEDS,CHQ BOUNCE CHARGES,300.00,SKYZEN
22,07-05-2019,DN-CB 10,ANDHRA,SRI SAI KRISHNA FURNITURE&HOME NEEDS,CHQ BOUNCE CHARGES,300.00,SKYZEN
23,11-05-2019,DN-P 2,ANDHRA,KEN LIFESTYLES PVT LTD AP,CREDIT NOTES FROM COMPANY CD,"112,241.00",SKYZEN
24,11-05-2019,DN-P 3,ANDHRA,KEN LIFESTYLES PVT LTD AP,CREDIT NOTES FROM COMPANY CD,"188,415.00",SKYZEN
