SNo,Date,Voucher No,Branch,Party,Purchase Account,Product,Net Amount,Division
1,01-04-2019,PV-ONG 1,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"203,196.00",SKYZEN
2,01-04-2019,PV-SRNG 1,ANDHRA,GVS TECHNOLOGIES,Purchase of 18% Items,SKYZEN LED M32,"10,146.00",SKYZEN
3,01-04-2019,PV-SRNG 1,ANDHRA,GVS TECHNOLOGIES,Purchase of 18% Items,SKYZEN LED M32M,"11,093.00",SKYZEN
4,01-04-2019,PV-SRNG 1,ANDHRA,GVS TECHNOLOGIES,Purchase of 18% Items,SKYZEN LED VQ32,"11,133.00",SKYZEN
5,02-04-2019,PV-H 1,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY WASHER SZ 802,"288,000.00",SKYZEN
6,02-04-2019,PV-H 1,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Thunder Cool 18AL,"138,000.00",SKYZEN
7,02-04-2019,PV-H 1,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY MINI CUTE,"80,000.00",SKYZEN
8,02-04-2019,PV-H 1,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,Mini Cute Trolley,"6,400.00",SKYZEN
9,02-04-2019,PV-H 1,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Smart Cool 18ALR LCD-H +USB,"187,000.00",SKYZEN
10,02-04-2019,PV-H 1,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,TYPHOON AIR COOLER,"26,000.00",CVCRM
11,02-04-2019,PV-ONG 2,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,CVCRM TANK,"1,208.32",CVCRM
12,02-04-2019,PV-ONG 2,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY TANK,"1,298.00",SKYZEN
13,02-04-2019,PV-ONG 2,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.32,SKYZEN
14,02-04-2019,PV-ONG 3,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Hippo Chill 4500,"67,472.40",SKYZEN
15,02-04-2019,PV-ONG 3,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Thunder Cool 18AL,"69,083.10",SKYZEN
16,02-04-2019,PV-ONG 3,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.50,SKYZEN
17,02-04-2019,PV-ONG 4,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Thunder Cool 18AL,"138,166.20",SKYZEN
18,02-04-2019,PV-ONG 4,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY MINI CUTE,"68,987.52",SKYZEN
19,02-04-2019,PV-ONG 4,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"270,928.00",SKYZEN
20,02-04-2019,PV-ONG 4,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.28,SKYZEN
21,02-04-2019,PV-ONG 5,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"338,660.00",SKYZEN
22,02-04-2019,TP-PV-H 1,PONNUR,SAI TEJA INDO PLAST OGL,Purchase of Air coolers Raw material,TYPHOON AIR COOLER,"9,048.00",CVCRM
23,03-04-2019,PV-ONG 10,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Thunder Cool 18AL,"230,277.00",SKYZEN
24,03-04-2019,PV-ONG 11,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Hippo Chill 4500,"26,988.96",SKYZEN
25,03-04-2019,PV-ONG 11,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.04,SKYZEN
26,03-04-2019,PV-ONG 6,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"338,660.00",SKYZEN
27,03-04-2019,PV-ONG 7,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"179,600.72",SKYZEN
28,03-04-2019,PV-ONG 7,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY MINI CUTE,"47,908.00",SKYZEN
29,03-04-2019,PV-ONG 7,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.28,SKYZEN
30,03-04-2019,PV-ONG 8,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Thunder Cool 18AL,"142,771.74",SKYZEN
31,03-04-2019,PV-ONG 8,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY MINI CUTE,"116,895.52",SKYZEN
32,03-04-2019,PV-ONG 8,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.26,SKYZEN
