SNo,Date,Voucher No,Receipt Mode,Branch,Party,Account,Net Amount,Division
1,2/4/2019,RBR-P 1,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"63,000.00",SKYZEN
2,2/4/2019,RBR-P 2,Cheques,ANDHRA,LAASYA SRI ENTERPRISES,HDFC BANK OD 0425,"60,000.00",SKYZEN
3,2/4/2019,RBR-P 21,Cheques,ANDHRA,KATYANI ENTERPRISES,HDFC BANK OD 0425,"20,000.00",SKYZEN
4,2/4/2019,RBR-P 3,Cheques,TELANGANA,MAHESWARI MARKETING,HDFC BANK OD 0425,"700,000.00",SKYZEN
5,2/4/2019,RBR-P 4,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"30,000.00",SKYZEN
6,2/4/2019,RBR-P 7,Cheques,TELANGANA,CHENNAI STEEL AND HOME APPLIANCIES,HDFC BANK OD 0425,"36,000.00",CVCRM
7,3/4/2019,RBR-P 10,Cheques,ANDHRA,SRI DHANALAKSHMI AGENCIES kovvuru,HDFC BANK OD 0425,"32,000.00",CVCRM
8,3/4/2019,RBR-P 22,Cheques,ANDHRA,LEO DECCAN ELECTRONICS,HDFC BANK OD 0425,"50,000.00",SKYZEN
9,3/4/2019,RBR-P 5,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"30,000.00",SKYZEN
10,3/4/2019,RBR-P 6,Cheques,ANDHRA,NEELIMA ELECTRONICS & HOME NEEDS,HDFC BANK OD 0425,"35,000.00",SKYZEN
11,3/4/2019,RBR-P 8,Cheques,ANDHRA,NEW GLASS HOUSE,HDFC BANK OD 0425,"30,000.00",SKYZEN
12,3/4/2019,RBR-P 9,Cheques,TELANGANA,VAISHNAVI MARKETING,HDFC BANK OD 0425,"130,000.00",SKYZEN
13,3/4/2019,TG-RP-V 1,Cash,GOLLAPUDI,SREE LAKSHMI GANAPATHY ELECTRONICS & MOBILES,Travelling Cash Ratnakumar,"25,000.00",SKYZEN
14,4/4/2019,RBR-P 11,Cheques,TELANGANA,ABHIRAM ELECTRONICS,HDFC BANK OD 0425,"50,000.00",SKYZEN
15,4/4/2019,RBR-P 12,Cheques,ANDHRA,GAUTHAM COOLING SOLUTIONS,HDFC BANK OD 0425,"12,200.00",SKYZEN
16,4/4/2019,RBR-P 13,Cheques,ANDHRA,SAI PRAKASH FURNITURES & HOME APPLIANCES,HDFC BANK OD 0425,"75,000.00",SKYZEN
17,4/4/2019,RBR-P 14,Cheques,ANDHRA,RISHI ENTERPRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
18,4/4/2019,RBR-P 15,Cheques,ANDHRA,DIVYA ELECTRONICS AND ELECTRICALS,HDFC BANK OD 0425,"256,000.00",SKYZEN
19,4/4/2019,RBR-P 16,Cheques,ANDHRA,SRI JAGADHAMBHA AGENCIES,HDFC BANK OD 0425,"50,000.00",SKYZEN
20,4/4/2019,RBR-P 17,Cheques,ANDHRA,MADHU AGENCIES,HDFC BANK OD 0425,"100,000.00",SKYZEN
21,4/4/2019,RBR-P 18,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"40,000.00",SKYZEN
22,4/4/2019,RBR-P 19,Cheques,TELANGANA,MARUTI ELECTRONICS,HDFC BANK OD 0425,"77,880.00",CVCRM
23,4/4/2019,RBR-P 20,Cheques,ANDHRA,SONOVISION WATCH AND ELECTRONICS,HDFC BANK OD 0425,"100,000.00",SKYZEN
24,5/4/2019,RBR-P 23,Cheques,ANDHRA,KAMADHENU ELECTRONICS,HDFC BANK OD 0425,"24,000.00",CVCRM
25,6/4/2019,RBR-P 27,Cheques,TELANGANA,SHIVA INDUSTRIES,HDFC BANK OD 0425,"250,000.00",SKYZEN
26,7/4/2019,RBR-P 24,Cheques,ANDHRA,MVV ENTERPRISES,HDFC BANK OD 0425,"90,000.00",SKYZEN
27,7/4/2019,RBR-P 25,Cheques,ANDHRA,MVV ENTERPRISES,HDFC BANK OD 0425,"10,000.00",SKYZEN
28,7/4/2019,RBR-P 26,Cheques,ANDHRA,SRI RAJYALAKSHMI ELECTRONICS & HOME NEEDS,HDFC BANK OD 0425,"200,000.00",SKYZEN
29,8/4/2019,RBR-P 28,Cheques,ANDHRA,ROOPAM ELECTRONICS AND APPLIANCES,HDFC BANK OD 0425,"19,211.00",SKYZEN
30,8/4/2019,RBR-P 29,Cheques,TELANGANA,REDDYS REFRIGERATION & ENTERPRISES,HDFC BANK OD 0425,"10,000.00",SKYZEN
31,8/4/2019,RBR-P 30,Cheques,ANDHRA,KALYANA CHAKRAVARTHI,HDFC BANK OD 0425,"35,000.00",SKYZEN
32,8/4/2019,RBR-P 31,Cheques,ANDHRA,SATYA ENTERPRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
33,8/4/2019,RBR-P 32,Cheques,ANDHRA,RUCHITA HOME NEEDS & ELECTRONICS,HDFC BANK OD 0425,"50,000.00",SKYZEN
34,8/4/2019,RBR-P 33,Cheques,ANDHRA,RAYALASEEMA AGENCIES,HDFC BANK OD 0425,"150,000.00",SKYZEN
35,8/4/2019,RBR-P 34,Cheques,ANDHRA,STAR VISION TV SHOP,HDFC BANK OD 0425,"51,980.00",SKYZEN
36,8/4/2019,RBR-P 35,Cheques,ANDHRA,AMEER ELECTRONICS,HDFC BANK OD 0425,"20,000.00",SKYZEN
37,8/4/2019,RBR-P 36,Cheques,ANDHRA,VAISHNAVI MARKETING,HDFC BANK OD 0425,"100,000.00",SKYZEN
38,8/4/2019,RBR-P 37,Cheques,ANDHRA,ASIAN ELECTRONICS,HDFC BANK OD 0425,"50,000.00",SKYZEN
39,8/4/2019,RBR-P 38,Cheques,ANDHRA,GAYATRI MEGA FURNITURE,HDFC BANK OD 0425,"15,000.00",SKYZEN
40,8/4/2019,RBR-P 39,Cheques,ANDHRA,RAGHAVENDRA ELE GDV,HDFC BANK OD 0425,"48,000.00",SKYZEN
41,8/4/2019,RBR-P 40,Cheques,ANDHRA,SRI SAI TEJA ELECTRONICS,HDFC BANK OD 0425,"96,000.00",SKYZEN
42,8/4/2019,RBR-P 41,Cheques,ANDHRA,DEVI ELECTRONICS,HDFC BANK OD 0425,"32,000.00",SKYZEN
43,8/4/2019,RBR-P 42,Cheques,ANDHRA,HS ENTERPRISE NEW,HDFC BANK OD 0425,"200,000.00",SKYZEN
44,8/4/2019,RBR-P 43,Cheques,ANDHRA,SRI VASTA ELECTRONICS,HDFC BANK OD 0425,"15,300.00",VOLTAS
45,8/4/2019,RBR-P 49,Cheques,TELANGANA,CHENNAI STEEL AND HOME APPLIANCIES,HDFC BANK OD 0425,"36,000.00",CVCRM
46,8/4/2019,TG-RP-V 2,Cash,GOLLAPUDI,SRI SAI DURGA HOME NEEDS,Travelling Cash Pavan,"40,000.00",SKYZEN
47,8/4/2019,TG-RP-V 3,Cash,GOLLAPUDI,MEENAKSHI ELECTRONICS,Travelling Cash Raja,"150,000.00",SKYZEN
48,8/4/2019,TG-RP-V 4,Cash,GOLLAPUDI,VIJAYALAKSHMI ELECTRONICS,Travelling Cash Raja,"50,000.00",SKYZEN
49,8/4/2019,TG-RP-V 5,Cash,GOLLAPUDI,RAGHAVENDRA ELE GDV,Travelling Cash Raja,"50,000.00",SKYZEN
50,8/4/2019,TG-RP-V 6,Cash,GOLLAPUDI,SRI SAROJINI AGENCIES,Travelling Cash Raja,"10,000.00",SKYZEN
51,8/4/2019,TG-RP-V 7,Cash,GOLLAPUDI,SREE LAKSHMI GANAPATHY ELECTRONICS & MOBILES,Travelling Cash Ratnakumar,"25,000.00",SKYZEN
52,8/4/2019,TG-RP-V 8,Cash,GOLLAPUDI,KAMADHENU ELECTRONICS,Travelling Cash Ratnakumar,"48,848.00",SKYZEN
53,9/4/2019,RBR-P 44,Cheques,ANDHRA,SAI PRAKASH FURNITURES & HOME APPLIANCES,HDFC BANK OD 0425,"100,000.00",SKYZEN
54,9/4/2019,RBR-P 45,Cheques,ANDHRA,ASIAN ELECTRONICS,HDFC BANK OD 0425,"35,000.00",SKYZEN
55,9/4/2019,RBR-P 46,Cheques,TELANGANA,SRI SAI MARK ENTERPRISES,HDFC BANK OD 0425,"18,650.00",SKYZEN
56,9/4/2019,RBR-P 47,Cheques,TELANGANA,RS ENTERPRISES,HDFC BANK OD 0425,"200,000.00",SKYZEN
57,9/4/2019,RBR-P 48,Cheques,ANDHRA,JYOTHI ELECTRONICS,HDFC BANK OD 0425,"160,000.00",CVCRM
58,9/4/2019,RBR-P 50,Cheques,ANDHRA,G N AGENCIES,HDFC BANK OD 0425,"28,470.00",SKYZEN
59,9/4/2019,RBR-P 51,Cheques,ANDHRA,SRI SAI TEJA ELECTRONICS,HDFC BANK OD 0425,"96,000.00",SKYZEN
60,9/4/2019,RBR-P 52,Cheques,ANDHRA,VENKAT CH,HDFC BANK OD 0425,"20,100.00",CVCRM
61,9/4/2019,RP-RK 1,Cash,ANDHRA,SRI KARTHIKEYA ELECTRONICS&AUTO MOBILES,Travelling Cash Ratnakumar,"10,000.00",SKYZEN
62,9/4/2019,RP-RK 2,Cash,ANDHRA,SRI KARTHIKEYA ELECTRONICS&AUTO MOBILES,Travelling Cash Ratnakumar,"8,000.00",SKYZEN
63,9/4/2019,RP-RK 3,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"9,000.00",SKYZEN
64,9/4/2019,RP-RK 4,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"10,000.00",SKYZEN
65,9/4/2019,RP-RK 5,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"3,622.00",SKYZEN
66,9/4/2019,TG-RP-V 10,Cash,GOLLAPUDI,MY HOME SHOPPY,Travelling Cash Ratnakumar,"30,768.00",SKYZEN
67,9/4/2019,TG-RP-V 9,Cash,GOLLAPUDI,SRI KARTHIKEYA ELECTRONICS&AUTO MOBILES,Travelling Cash Ratnakumar,"52,896.00",SKYZEN
68,10/4/2019,RBR-P 53,Cheques,ANDHRA,VK ENTERPRISES,HDFC BANK OD 0425,"130,000.00",SKYZEN
69,10/4/2019,RBR-P 54,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"35,000.00",SKYZEN
70,10/4/2019,RBR-P 55,Cheques,ANDHRA,NIVAS ENTERPRISES,HDFC BANK OD 0425,"200,000.00",CVCRM
71,10/4/2019,RBR-P 56,Cheques,ANDHRA,RISHI ENTERPRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
72,10/4/2019,RBR-P 57,Cheques,ANDHRA,MADHU AGENCIES,HDFC BANK OD 0425,"100,000.00",SKYZEN
73,10/4/2019,RBR-P 58,Cheques,TELANGANA,LAXMI AUDIOS,HDFC BANK OD 0425,"154,640.00",SKYZEN
74,10/4/2019,RBR-P 59,Cheques,ANDHRA,SIVA METAL & HOME NEEDS,HDFC BANK OD 0425,"30,000.00",SKYZEN
75,10/4/2019,RBR-P 60,Cheques,ANDHRA,SAI SRINIVASA ELECTRONICS,HDFC BANK OD 0425,"65,050.00",SKYZEN
76,10/4/2019,RBR-P 61,Cheques,ANDHRA,SRI RAJYALAKSHMI ELECTRONICS & HOME NEEDS,HDFC BANK OD 0425,"241,600.00",SKYZEN
77,10/4/2019,RBR-P 62,Cheques,ANDHRA,SRI VENKATESWARA ELECTRONICS & FURNITURE,HDFC BANK OD 0425,"47,500.00",SKYZEN
78,11/4/2019,RBR-P 70,Cheques,TELANGANA,SONY ELECTRONICS,HDFC BANK OD 0425,"25,000.00",SKYZEN
79,11/4/2019,RP-JP 1,Cash,ANDHRA,BHAGYASRI HOME NEEDS,Travelling Cash Pavan,"10,000.00",SKYZEN
80,11/4/2019,RP-JP 2,Cash,ANDHRA,BHAGYASRI HOME NEEDS,Travelling Cash Pavan,"10,000.00",SKYZEN
81,11/4/2019,RP-JP 3,Cash,ANDHRA,SAI ELECTRONICS,Travelling Cash Pavan,"10,000.00",SKYZEN
82,12/4/2019,RBR-P 63,Cheques,ANDHRA,MAHAVIR AGENCIES,HDFC BANK OD 0425,"349,982.00",CVCRM
83,12/4/2019,RBR-P 64,Cheques,ANDHRA,SRI HANUMAN ENTERPRISES,HDFC BANK OD 0425,"321,048.00",SKYZEN
84,12/4/2019,RBR-P 65,Cheques,ANDHRA,VAISHNAVI MARKETING,HDFC BANK OD 0425,"200,000.00",SKYZEN
85,12/4/2019,RBR-P 66,Cheques,ANDHRA,KAVITHA ELECTRONICS,HDFC BANK OD 0425,"100,000.00",SKYZEN
86,12/4/2019,RBR-P 67,Cheques,ANDHRA,SAI RAM ENTER PRISES,HDFC BANK OD 0425,"30,000.00",SKYZEN
87,12/4/2019,RBR-P 68,Cheques,ANDHRA,MADHU AGENCIES,HDFC BANK OD 0425,"100,000.00",SKYZEN
88,12/4/2019,RBR-P 69,Cheques,ANDHRA,LAKSHMI SRINIVASA AGENCY,HDFC BANK OD 0425,"150,000.00",SKYZEN
89,12/4/2019,RBR-P 71,Cheques,ANDHRA,LAKSHMI CHAITANYA ELECTRICALS AND ELECTRONICS,HDFC BANK OD 0425,"43,333.00",SKYZEN
90,12/4/2019,RBR-P 72,Cheques,TELANGANA,MARUTI ELECTRONICS,HDFC BANK OD 0425,"77,880.00",SKYZEN
91,12/4/2019,RBR-P 73,Cheques,ANDHRA,KATYANI ENTERPRISES,HDFC BANK OD 0425,"28,000.00",CVCRM
92,13-04-2019,RBR-P 74,Cheques,ANDHRA,UNIQUE ENTERPRISES,HDFC BANK OD 0425,"30,000.00",SKYZEN
93,13-04-2019,RP-RK 6,Cash,ANDHRA,VIJAYA MANIKANTA FURNITURES,Travelling Cash Ratnakumar,"2,376.00",CVCRM
94,13-04-2019,TG-RP-V 12,Cash,GOLLAPUDI,MARUTHI ELE & HOME NEEDS,Travelling Cash Surendra,"100,140.00",SKYZEN
95,13-04-2019,TG-RP-V 13,Cash,GOLLAPUDI,SRI SAI DURGA HOME NEEDS,Travelling Cash Pavan,"27,650.00",SKYZEN
96,13-04-2019,TG-RP-V 14,Cash,GOLLAPUDI,BALAJI  HOME NEEDS,Travelling Cash Pavan,"20,000.00",SKYZEN
97,14-04-2019,RBR-P 75,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"50,000.00",SKYZEN
98,15-04-2019,RBR-P 100,Cheques,ANDHRA,UNIQUE ENTERPRISES,HDFC BANK OD 0425,"30,000.00",SKYZEN
99,15-04-2019,RBR-P 101,Cheques,ANDHRA,A R ENTERPRISES,HDFC BANK OD 0425,"56,000.00",SKYZEN
100,15-04-2019,RBR-P 102,Cheques,ANDHRA,THIRUMALA ELECTRONICS AND ENTERPRISES,HDFC BANK OD 0425,"50,000.00",SKYZEN
101,15-04-2019,RBR-P 76,Cheques,ANDHRA,SRINIVASA SELECTIONS,HDFC BANK OD 0425,"21,000.00",CVCRM
102,15-04-2019,RBR-P 77,Cheques,ANDHRA,SHIVA INDUSTRIES,HDFC BANK OD 0425,"150,000.00",SKYZEN
