SNo,Date,Voucher No,Branch,Party,Product,Net Amount,Division
1,01-04-2019,CSI-ONG 1,ANDHRA,CASH ACCOUNT NANO,SKY Hippo Chill 4500,"5,000.00",SKYZEN
2,01-04-2019,CSI-ONG 2,ANDHRA,CASH ACCOUNT NANO,TYPHOON AIR COOLER,"4,500.00",CVCRM
3,01-04-2019,CSI-ONG 3,ANDHRA,CASH ACCOUNT NANO,TYPHOON AIR WHITE COOLER,"4,000.00",CVCRM
4,01-04-2019,SI-CBO 1,ANDHRA,MURALI ELECTRONICS,TYPHOON AIR WHITE COOLER,"148,000.00",CVCRM
5,01-04-2019,SI-CCBO 1,ONGOLE,MURALI ELECTRONICS,TYPHOON AIR WHITE COOLER,"111,000.00",CVCRM
6,01-04-2019,SI-CCBO 1,ONGOLE,MURALI ELECTRONICS,TAX FOR COOLERS,"22,570.00",CVCRM
7,01-04-2019,SI-SCH 1,TELANGANA,VAISHNAVI MARKETING,SKY Vibrant 18AL /HPL,"40,536.00",SKYZEN
8,01-04-2019,SI-SCH 1,TELANGANA,VAISHNAVI MARKETING,SKY Vibrant 18AL/HPL -H,"42,300.00",SKYZEN
9,01-04-2019,SI-SCH 1,TELANGANA,VAISHNAVI MARKETING,SKY Smart Cool 18ALH,"45,672.00",SKYZEN
10,01-04-2019,SI-SCH 2,TELANGANA,SRIDHAR AGENCIES,SKY Smile Blower,"46,330.00",SKYZEN
11,01-04-2019,SI-SCH 2,TELANGANA,SRIDHAR AGENCIES,SKY MINI CUTE,"13,900.00",SKYZEN
12,01-04-2019,SI-SCH 2,TELANGANA,SRIDHAR AGENCIES,SKY Super Cool 16AL,"31,080.00",SKYZEN
13,01-04-2019,SI-SCH 2,TELANGANA,SRIDHAR AGENCIES,Smile Trolly,"2,125.00",SKYZEN
14,01-04-2019,SI-SCH 2,TELANGANA,SRIDHAR AGENCIES,Mini Cute Trolley,"1,300.00",SKYZEN
15,01-04-2019,SI-SCV 1,ANDHRA,GVS TECHNOLOGIES,SKY Smile Blower,"85,068.00",SKYZEN
16,01-04-2019,SI-SCV 1,ANDHRA,GVS TECHNOLOGIES,Smile Trolly,"7,650.00",SKYZEN
17,01-04-2019,SI-SCV 2,ANDHRA,SRI SAMBASIVA ENTER PRISES,SKY Smart Cool 18AL,"72,000.00",SKYZEN
18,01-04-2019,SI-SCV 2,ANDHRA,SRI SAMBASIVA ENTER PRISES,SKY Thunder Cool 18AL,"40,200.00",SKYZEN
19,01-04-2019,SI-SLV 1,ANDHRA,VASUDHA HOME APPLEINCESS,SKYZEN LED M32,"27,270.00",SKYZEN
20,01-04-2019,SI-SLV 1,ANDHRA,VASUDHA HOME APPLEINCESS,SKYZEN LED M32M,"30,570.00",SKYZEN
21,01-04-2019,SI-SLV 1,ANDHRA,VASUDHA HOME APPLEINCESS,SKYZEN LED M32SM,"38,070.00",SKYZEN
22,01-04-2019,SI-SOV 1,ANDHRA,VASUDHA HOME APPLEINCESS,SKY SEMI WM SD 72R,"34,450.00",SKYZEN
