SNo,Master,Short,Stock Management Unit,AlternateSMU,Status,Node,Master Group,Master Node1,Category1,Category2,Category3,Cost1,Cost2,Cost3
1,CATALOGUES,,Nos,,Active,ADJ PRODUCTS,Products,All Products,ADJ PRODUCTS,,,50,50,50
2,ULTRASMT SPIN RIVETING MACHINE MODEL 06 BENCH TYPE,,Nos,,Active,IMPORTED PRODUCTS,Products,All Products,IMPORTED PRODUCTS,,,50,50,50
3,4KV STABILEZER,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
4,ADZEN LED 24,ADZ 24,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
5,AMARON TALL TUBULAR BATTERY-165AH,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
6,"ANCHER 16"" WALL H/S FAN",,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
7,ANCHER 36 ITALICA COPPER C/F,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
8,ANCHER ITALICA COPPER C/F,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
9,BEETEL M57 PHONES,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
10,COMPUTER SPARES,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
11,COURIER CHARGE,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
12,CVCRM CTV21,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
13,FESTIVE HIGH BACK CHAIR,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
