Role Id,Dealer Name,Contact Person,Email,Contact Number,Alternate Contact Number,Address,Alternate Address,State,City,Pincode,Latitude,Longitude,Distributor,Dealer Type,Party Type
4,A P FURNITURE MALL,,apfurnituremall@gmail.com,8885996701,,7/28/50 TO 55 SHOP NO:3.,"GANGANAMMAPETA,",Andhra Pradesh,TENALI,,,,SAI TEJA INDO PLAST,,normal
4,A1 TELECOM COMMUNICATIONS,,a1telecomcommun@gmail.com,7075141811/8309276909,,11-1-23 VINAYAKA CIRCLE,,Andhra Pradesh,RAYADURGAM,515865,,,SAI TEJA INDO PLAST,,normal
4,ABHIRAM ELECTRONICS,,abhiramelectron@gmail.com,7075141811/8309276909,,,,Andhra Pradesh,DHARMAVARAM,,,,SAI TEJA INDO PLAST,,normal
4,ABHIRAM ELECTRONICS COOLERS,,abhiramelectron@gmail.com,9966674429,,,,Andhra Pradesh,DHARMAVARAM,,,,SAI TEJA INDO PLAST,,cooler
4,ACN DIGITAL SHOPPE,,acndigitalshopp@gmail.com,9966674429,,NAYAAZ,,Andhra Pradesh,HINDUPUR,,,,SAI TEJA INDO PLAST,,normal
4,ACN DIGITAL SHOPPY COOLERS,,acndigitalshopp@gmail.com,9246462244,,NAYAZ,,Andhra Pradesh,HINDUPUR,,,,SAI TEJA INDO PLAST,,cooler
4,ADILAKSHMI ELECTRONICS,BHIMESWARRAO,adilakshmielect@gmail.com,8639314841,,,,Andhra Pradesh,MACHILIPATNAM,,,,SAI TEJA INDO PLAST,,normal
4,ADINATH MARKETING,P K JANAKIRAM,adinathmarketin@gmail.com,9491338379,,"7-111-46-24,BRUNDAVAN NAGAR",,Andhra Pradesh,KURNOOL1,518003,,,SAI TEJA INDO PLAST/ MADHU AGENCIES,,normal
4,ADITYA ELECTRONICS & HOME APPLIANCES,,adityaelectroni@gmail.com,,,GANDHI CHOWK CENTRE,MAIN ROAD,Andhra Pradesh,SATTENAPALLI,,,,SAI TEJA INDO PLAST,,normal
4,ADITYA PRINCE,,adityaprince@gmail.com,9441733658,,,,Andhra Pradesh,ELURU,,,,DWARAKA ENTERPRISES,,normal
